
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
[32m :: Spring Boot :: [39m              [2m (v3.2.5)[0;39m

2026-04-09 14:03:34.464 [main] INFO  com.companycode.nse.NseEnterpriseSchedulerApplication - Starting NseEnterpriseSchedulerApplication v1.0.0 using Java 22.0.1 with PID 38689 (/Users/bhavyasharma/Desktop/EqutiyWatchListTracker/nse-code-service/target/nse-enterprise-scheduler-1.0.0.jar started by bhavyasharma in /Users/bhavyasharma/Desktop/EqutiyWatchListTracker/watchlist-service)
2026-04-09 14:03:34.473 [main] INFO  com.companycode.nse.NseEnterpriseSchedulerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-09 14:03:36.580 [main] INFO  com.companycode.nse.NseEnterpriseSchedulerApplication - Started NseEnterpriseSchedulerApplication in 2.371 seconds (process running for 3.001)
2026-04-09 14:03:36.581 [main] INFO  com.companycode.nse.NseEnterpriseSchedulerApplication - NSE Enterprise Scheduler is READY on port 8084
2026-04-09 14:03:36.581 [main] INFO  com.companycode.nse.scheduler.NseScheduler - Startup: running company sync → sector sync
2026-04-09 14:03:36.586 [main] INFO  com.companycode.nse.service.NseSyncService - Starting company master sync from NSE CSV...
2026-04-09 14:03:37.150 [main] INFO  com.companycode.nse.service.NseSyncService - Company sync complete — inserted 2 new companies (total in DB: 2266)
2026-04-09 14:03:37.167 [main] INFO  com.companycode.nse.service.NseSectorSyncService - Starting sector sync from NSE API...
2026-04-09 14:03:37.436 [main] INFO  com.companycode.nse.service.NseSectorSyncService - Found 19 sectoral indices to sync
2026-04-09 14:03:43.168 [main] INFO  com.companycode.nse.service.NseSectorSyncService - Sector sync complete — synced 19 sectors
2026-04-09 14:03:43.171 [main] INFO  com.companycode.nse.scheduler.NseScheduler - Startup sync complete
2026-04-09 14:22:05.571 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m29s887ms).
2026-04-09 14:32:53.272 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10m47s702ms).
2026-04-09 14:50:30.338 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=8m5s442ms).
2026-04-09 15:03:23.342 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m22s942ms).
2026-04-09 15:11:08.982 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7m45s640ms).
2026-04-09 15:34:54.439 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m45s402ms).
