2026-05-18 16:40:49.347 [main] INFO  com.equity.fastmovers.FastMoversApplication - Starting FastMoversApplication v1.0.0 using Java 22.0.1 with PID 14100 (/Users/bhavyasharma/Desktop/Niveshflow jars/fast-movers-service-1.0.0-exec.jar started by bhavyasharma in /Users/bhavyasharma/Desktop/EqutiyWatchListTracker/watchlist-service)
2026-05-18 16:40:49.357 [main] INFO  com.equity.fastmovers.FastMoversApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-18 16:40:55.280 [startup-refresh-thread] INFO  com.equity.fastmovers.service.FastMoversService - refreshTodayMovers: fetching gainers/losers from NSE
2026-05-18 16:40:56.467 [main] INFO  com.equity.fastmovers.FastMoversApplication - Started FastMoversApplication in 7.844 seconds (process running for 9.658)
2026-05-18 16:40:58.361 [startup-refresh-thread] INFO  com.equity.fastmovers.service.FastMoversService - refreshTodayMovers: upserted 10 gainers, 10 losers for 2026-05-18
2026-05-18 16:40:58.362 [startup-refresh-thread] INFO  com.equity.fastmovers.service.FastMoversService - backfillDailyClose: checking last 7 trading days
2026-05-18 16:40:58.522 [startup-refresh-thread] INFO  com.equity.fastmovers.client.NseMoversClient - Downloading Bhavcopy from: https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_15052026.csv
2026-05-18 16:40:59.073 [startup-refresh-thread] INFO  com.equity.fastmovers.client.NseMoversClient - Bhavcopy parsed: 2423 EQ symbols for 2026-05-15
2026-05-18 16:41:09.177 [startup-refresh-thread] INFO  com.equity.fastmovers.service.FastMoversService - backfill: persisted 2423 prices for 2026-05-15
2026-05-18 16:41:09.181 [startup-refresh-thread] INFO  com.equity.fastmovers.client.NseMoversClient - Downloading Bhavcopy from: https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_14052026.csv
2026-05-18 16:41:09.315 [startup-refresh-thread] INFO  com.equity.fastmovers.client.NseMoversClient - Bhavcopy parsed: 2432 EQ symbols for 2026-05-14
2026-05-18 16:41:10.404 [startup-refresh-thread] INFO  com.equity.fastmovers.service.FastMoversService - backfill: persisted 2432 prices for 2026-05-14
2026-05-18 16:41:10.411 [startup-refresh-thread] INFO  com.equity.fastmovers.service.FastMoversService - backfillDailyClose complete
2026-05-18 16:47:28.516 [http-nio-8081-exec-1] INFO  com.equity.fastmovers.controller.FastMoversController - GET /api/fast-movers?range=TODAY
2026-05-18 16:47:28.517 [http-nio-8081-exec-1] INFO  com.equity.fastmovers.service.FastMoversService - getMovers called for range=TODAY
2026-05-18 17:06:23.144 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10m30s528ms).
2026-05-18 17:21:53.053 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m29s913ms).
2026-05-18 17:31:06.520 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9m13s467ms).
2026-05-18 17:33:43.933 [scheduling-1] INFO  com.equity.fastmovers.scheduler.FastMoversScheduler - Scheduler: refreshTodayMovers triggered
2026-05-18 17:33:43.935 [scheduling-1] INFO  com.equity.fastmovers.service.FastMoversService - refreshTodayMovers: fetching gainers/losers from NSE
2026-05-18 17:33:44.694 [scheduling-1] INFO  com.equity.fastmovers.service.FastMoversService - refreshTodayMovers: upserted 10 gainers, 10 losers for 2026-05-18
2026-05-18 17:39:28.314 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m21s761ms).
2026-05-18 18:00:26.750 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m28s403ms).
2026-05-18 18:15:46.669 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7m49s817ms).
2026-05-18 18:18:25.294 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m8s625ms).
2026-05-18 18:22:12.622 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m47s327ms).
2026-05-18 18:24:35.292 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m52s645ms).
2026-05-18 18:25:45.389 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m10s99ms).
2026-05-18 18:30:08.575 [scheduling-2] INFO  com.equity.fastmovers.scheduler.FastMoversScheduler - Scheduler: refreshTodayMovers triggered
2026-05-18 18:30:08.577 [scheduling-2] INFO  com.equity.fastmovers.service.FastMoversService - refreshTodayMovers: fetching gainers/losers from NSE
2026-05-18 18:30:08.967 [scheduling-2] INFO  com.equity.fastmovers.service.FastMoversService - refreshTodayMovers: upserted 10 gainers, 10 losers for 2026-05-18
2026-05-18 18:59:59.949 [scheduling-1] INFO  com.equity.fastmovers.scheduler.FastMoversScheduler - Scheduler: refreshTodayMovers triggered
2026-05-18 18:59:59.951 [scheduling-1] INFO  com.equity.fastmovers.service.FastMoversService - refreshTodayMovers: fetching gainers/losers from NSE
2026-05-18 19:00:00.489 [scheduling-1] INFO  com.equity.fastmovers.service.FastMoversService - refreshTodayMovers: upserted 10 gainers, 10 losers for 2026-05-18
2026-05-18 19:13:49.665 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m39s364ms).
2026-05-18 19:19:10.258 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9m15s273ms).
2026-05-18 19:31:34.039 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m23s780ms).
2026-05-18 19:45:54.163 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=14m20s124ms).
2026-05-18 20:01:10.353 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m16s191ms).
2026-05-18 20:20:16.805 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=19m6s453ms).
2026-05-18 20:24:11.405 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m54s598ms).
2026-05-18 21:13:51.153 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m30s53ms).
2026-05-18 21:25:07.526 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=11m16s373ms).
2026-05-18 21:49:57.302 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=23m37s340ms).
2026-05-18 21:57:36.910 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7m39s608ms).
2026-05-18 22:04:58.441 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7m21s530ms).
2026-05-18 22:15:39.147 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10m40s707ms).
