2026-05-18 16:40:48.994 [main] INFO  com.companycode.nse.NseEnterpriseSchedulerApplication - Starting NseEnterpriseSchedulerApplication v1.0.0 using Java 22.0.1 with PID 14096 (/Users/bhavyasharma/Desktop/Niveshflow jars/nse-enterprise-scheduler-1.0.0.jar started by bhavyasharma in /Users/bhavyasharma/Desktop/EqutiyWatchListTracker/watchlist-service)
2026-05-18 16:40:49.054 [main] INFO  com.companycode.nse.NseEnterpriseSchedulerApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-18 16:40:56.092 [main] INFO  com.companycode.nse.NseEnterpriseSchedulerApplication - Started NseEnterpriseSchedulerApplication in 7.805 seconds (process running for 9.155)
2026-05-18 16:40:56.096 [main] INFO  com.companycode.nse.NseEnterpriseSchedulerApplication - NSE Enterprise Scheduler is READY on port 8084
2026-05-18 16:40:56.096 [main] INFO  com.companycode.nse.scheduler.NseScheduler - Startup: running company sync → sector sync
2026-05-18 16:40:56.110 [main] INFO  com.companycode.nse.service.NseSyncService - Starting company master sync from NSE CSV...
2026-05-18 16:40:58.196 [main] INFO  com.companycode.nse.service.NseSyncService - Company sync complete — inserted 0 new companies (total in DB: 2392)
2026-05-18 16:40:58.254 [main] INFO  com.companycode.nse.service.NseSectorSyncService - Starting sector sync from NSE API...
2026-05-18 16:40:59.663 [main] INFO  com.companycode.nse.service.NseSectorSyncService - Found 21 sectoral indices to sync
2026-05-18 16:41:06.032 [main] INFO  com.companycode.nse.service.NseSectorSyncService - Sector sync complete — synced 21 sectors
2026-05-18 16:41:06.042 [main] INFO  com.companycode.nse.scheduler.NseScheduler - Startup sync complete
2026-05-18 17:06:23.095 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10m30s525ms).
2026-05-18 17:21:53.013 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m29s907ms).
2026-05-18 17:31:06.484 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9m13s483ms).
2026-05-18 17:39:28.295 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m21s760ms).
